Ticker,Name,Date bought,Price bought,Amount Bought,Date sold,Price Sold,Spin-Off,VIC,MF,Valuation,Rev growth,Debt level,Understandable,Researchable,Industry,Market Cap,ROE,Holding duration (months),P&L
975,Mongolian Mining,11/5/2016,,20000,2/2/2017,,0,1,0,2,0,4.10,3,2,Commodity,1800.00,-0.70,3,-0.02
1538,Zhong Ao Home Group Ltd,11/27/2016,,40000,7/20/2017,,0,1,0,7,0,0.00,7,4,REIT,658.00,-0.01,8,-0.38
37B,B+C SPEAKERS,10/21/2013,,3000,4/28/2014,,0,0,0,7,7,0.00,8,7,Electronics,130.00,0.28,6,0.50
AGX,Argan,7/19/2013,15.71,5000,10/4/2016,58.73,0,1,1,9,6,0.00,4,7,Engineering & Construction,994.00,0.28,39,2.74
ANIK,Anika Therapeutics,9/18/2014,41.48,10000,4/29/2015,36.25,0,0,0,0,0,0.00,2,6,Biotechnology,705.00,0.15,7,-0.13
BBSI,Barrett Business Services,11/17/2014,32.03,30000,1/25/2017,62.0907835,0,1,1,0,7,0.10,9,7,Staffing & Outsourcing Services,413.00,0.27,26,0.94
BKS,Barnes & Nobles,5/24/2014,17.38,20000,10/29/2014,20.84,0,0,0,8,0,0.00,6,7,Specialty Retail,540.00,0.01,5,0.20
CAPC,Capstone,4/1/2017,0.5285643,45000,7/20/2017,0.58,0,0,0,8,8,0.30,7,7,Electronic Components,27.00,0.80,4,0.10
CONN,CONN's,11/20/2016,11.6,30000,7/20/2017,22.55,0,1,0,5,0,2.20,4,6,Specialty Retail,350.00,-0.05,8,0.94
ESI,ITT Educational Services,9/25/2014,4.269,1000,10/17/2014,9.95,0,0,0,8,0,2.14,5,6,Education,400.00,0.18,1,1.33
FELP,Forsight Energy,9/18/2015,6.6670037,20000,3/21/2016,1.35,0,1,0,5,0,10.00,5,6,Commodity,638.00,-0.53,6,-0.80
GOOG,Google,11/18/2014,537.5,10000,4/27/2015,532.9415884,0,0,0,3,8,0.00,8,8,Internet Content & Information,300000.00,0.15,5,-0.01
GUD,Knight Therapeutics Inc,11/18/2014,6.1294189,10000,7/20/2017,9.72,0,1,0,1,1,0.00,3,6,Pharmaceuticals,700.00,0.03,32,0.59
HZN,Horizon Global Corp,1/23/2016,13.5,30000,7/20/2017,14.47,1,1,0,6,0,2.10,7,7,Industrial Distribution,300.00,-0.60,18,0.07
IBKR,Interactive Brokers,10/27/2014,26.0130418,30000,7/20/2017,37.21,0,1,0,3,3,0.00,8,8,Capital Markets,15000.00,0.07,33,0.43
IQNT,Inteliquent,3/30/2014,14.09,4600,6/4/2014,15.3,0,0,1,7,0,0.00,3,5,Communications,800.00,0.70,2,0.09
KSC,KPS AG,6/23/2014,7.2419981,15000,3/9/2015,6.93,0,0,0,5,0,0.00,5,1,Business Services,500.00,0.50,9,-0.04
LC,Lending Club,2/19/2015,18.9098336,25000,7/20/2017,5.2,0,1,0,1,8,4.20,7,7,Credit Services,10000.00,-0.18,29,-0.73
