Ticker,Name,Date bought,Price bought,Amount Bought,Date sold,Price Sold,Spin-Off,VIC,MF,Valuation,Rev growth,Debt level,Understandable,Researchable,Industry,Market Cap,ROE,Holding duration (months),P&L,
975,Mongolian Mining,11/5/2016,,20000,2/2/2017,,0,1,0,2,0,4.1,3,2,Commodity,1800,-0.7,3,-0.02,
1538,Zhong Ao Home Group Ltd,11/27/2016,,40000,7/20/2017,,0,1,0,7,0,0,7,4,REIT,658,-0.01,8,-0.38,
37B,B+C SPEAKERS,10/21/2013,,3000,4/28/2014,,0,0,0,7,7,0,8,7,Electronics,130,0.28,6,0.5,
AGX,Argan,7/19/2013,15.71,5000,10/4/2016,58.73,0,1,1,9,6,0,4,7,Engineering & Construction,994,0.28,39,2.74,
ANIK,Anika Therapeutics,9/18/2014,41.48,10000,4/29/2015,36.25,0,0,0,0,0,0,2,6,Biotechnology,705,0.15,7,-0.13,
BBSI,Barrett Business Services,11/17/2014,32.03,30000,1/25/2017,62.0907835,0,1,1,0,7,0.1,9,7,Staffing & Outsourcing Services,413,0.27,26,0.94,
BKS,Barnes & Nobles,5/24/2014,17.38,20000,10/29/2014,20.84,0,0,0,8,0,0,6,7,Specialty Retail,540,0.01,5,0.2,
CAPC,Capstone,4/1/2017,0.5285643,45000,7/20/2017,0.58,0,0,0,8,8,0.3,7,7,Electronic Components,27,0.8,4,0.1,
CONN,CONN's,11/20/2016,11.6,30000,7/20/2017,22.55,0,1,0,5,0,2.2,4,6,Specialty Retail,350,-0.05,8,0.94,
ESI,ITT Educational Services,9/25/2014,4.269,1000,10/17/2014,9.95,0,0,0,8,0,2.14,5,6,Education,400,0.18,1,1.33,
FELP,Forsight Energy,9/18/2015,6.6670037,20000,3/21/2016,1.35,0,1,0,5,0,10,5,6,Commodity,638,-0.53,6,-0.8,
GOOG,Google,11/18/2014,537.5,10000,4/27/2015,532.9415884,0,0,0,3,8,0,8,8,Internet Content & Information,300000,0.15,5,-0.01,
GUD,Knight Therapeutics Inc,11/18/2014,6.1294189,10000,7/20/2017,9.72,0,1,0,1,1,0,3,6,Pharmaceuticals,700,0.03,32,0.59,
